DATE_TIME,DIAMETER,GRADE,CHEM1,CHEM2,CHEM3,CHEM4,CHEM5,CHEM6,CHEM7,CHEM8,CHEM9,CHEM10,TEMP1,TEMP2,TEMP3,QUALITY1,TEMP4,SPEED,PROCESS1,PROCESS2,PROCESS3,TEMP5,TEMP6,QUALITY2,ID,uts/ys
2022-09-13 14:15:00,10,GR1,0.21,1.27,0.019,0.02,0.22,0.003,0.0002,0.03,0.007,50.0,1046,937.0,31,676.535,226,28,2110,1715,1.32,593.0,635,576.346,A41399,1.1738348145037876
2022-09-13 10:15:00,10,GR1,0.23,1.29,0.02,0.025,0.24,0.004,0.0001,0.025,0.007,52.0,969,1128.0,35,707.562,255,29,2926,2851,1.33,635.0,622,598.588,A46931,1.1820517618127995
2022-09-14 04:45:00,10,GR1,0.23,1.3,0.012,0.026,0.24,0.004,0.0006,0.024,0.005,45.0,1060,988.0,64,698.561,118,28,2087,3235,1.34,601.0,580,597.881,A94132,1.1683947139982707
2022-11-09 07:20:00,10,GR1,0.23,1.29,0.017,0.024,0.25,0.003,0.0003,0.027,0.006,51.0,903,1106.0,15,730.67,219,30,2652,3195,1.35,624.0,629,612.169,A31939,1.1935756302589644
2022-10-15 06:20:00,10,GR1,0.223,1.264,0.011,0.019,0.23,0.003,0.0018,0.038,0.006,55.0,970,1121.0,100,728.356,167,30,1417,1768,1.34,610.0,583,614.215,A11227,1.1858323225580618
2022-11-09 13:00:00,10,GR1,0.223,1.287,0.009,0.02,0.234,0.003,0.0005,0.039,0.006,60.0,905,861.0,62,715.934,216,32,2950,3201,1.35,639.0,618,622.407,A92316,1.15026662617869
2022-10-15 07:25:00,10,GR1,0.227,1.31,0.014,0.024,0.215,0.0025,0.0003,0.034,0.006,74.0,1065,942.0,6,714.551,83,26,1672,2826,1.35,556.0,608,593.239,A12274,1.2044909387278988
2022-11-11 20:35:00,10,GR1,0.222,1.293,0.015,0.025,0.229,0.002,0.0001,0.027,0.004,46.0,1072,840.0,27,728.456,48,27,1945,2127,1.32,586.0,515,598.803,A29230,1.216520291314506
2022-11-11 15:25:00,10,GR1,0.234,1.31,0.02,0.021,0.21,0.002,0.001,0.04,0.005,53.0,1118,928.0,109,690.233,110,28,2916,2527,1.32,644.0,608,590.071,A31023,1.1697456746730477
2022-11-11 19:20:00,10,GR1,0.234,1.31,0.02,0.021,0.21,0.002,0.001,0.04,0.005,53.0,1043,901.0,80,694.994,3,32,1748,2975,1.32,533.0,514,590.472,A21303,1.1770143207467925
2022-11-11 16:00:00,10,GR1,0.22,1.312,0.014,0.018,0.221,0.002,0.0016,0.034,0.006,48.0,955,983.0,31,695.368,41,30,1843,2384,1.32,592.0,579,591.388,A80321,1.1758236555357904
2022-11-11 16:50:00,10,GR1,0.22,1.312,0.014,0.018,0.221,0.002,0.0016,0.034,0.006,48.0,1018,886.0,112,709.694,249,26,2440,3174,1.32,619.0,606,596.091,A03128,1.1905799617843584
2022-11-13 05:20:00,10,GR1,0.22,1.328,0.011,0.037,0.258,0.003,0.0003,0.039,0.005,50.0,884,893.0,60,726.714,73,27,2956,2211,1.3,631.0,615,604.585,A23052,1.2020046808968134
2022-11-11 20:00:00,10,GR1,0.222,1.293,0.015,0.025,0.229,0.002,0.0001,0.027,0.004,46.0,1134,1063.0,92,692.762,112,28,1877,2087,1.32,561.0,577,580.185,A09223,1.194036384946181
2022-11-11 21:40:00,10,GR1,0.22,1.28,0.016,0.026,0.24,0.003,0.0003,0.027,0.002,47.0,1055,1052.0,101,727.762,160,31,2895,2804,1.32,648.0,519,621.727,A02330,1.1705491316928491
2022-10-11 14:15:00,10,GR1,0.226,1.383,0.017,0.031,0.219,0.002,0.002,0.031,0.007,65.0,1137,874.0,2,716.142,117,31,2100,2223,1.31,639.0,598,595.075,A24792,1.203448304835525
