DATE_TIME,DIAMETER,GRADE,CHEM1,CHEM2,CHEM3,CHEM4,CHEM5,CHEM6,CHEM7,CHEM8,CHEM9,CHEM10,TEMP1,TEMP2,TEMP3,QUALITY1,TEMP4,SPEED,PROCESS1,PROCESS2,PEOCESS3,TEMP5,TEMP6,QUALITY2,ID
2022-09-21 04:05:00,12,GR1,0.22,1.33,0.016,0.018,0.24,0.003,0.001,0.026,0.007,52.0,898,903.0,29,703.429,270,28,2051,1836,1.35,637.0,519,589.742,A91159
2022-09-21 04:35:00,12,GR1,0.22,1.33,0.016,0.018,0.24,0.003,0.001,0.026,0.007,52.0,924,1023.0,5,721.841,184,26,1523,3401,1.35,641.0,562,590.141,A11599
2022-09-19 15:20:00,12,GR1,0.22,1.28,0.012,0.03,0.227,0.003,0.0002,0.025,0.004,47.0,959,1007.0,47,688.402,306,17,2168,1805,1.37,623.0,570,581.029,A92192
2022-09-25 10:00:00,12,GR1,0.22,1.276,0.011,0.021,0.231,0.002,0.0002,0.025,0.001,47.0,1150,1017.0,95,711.964,262,19,1524,2974,1.36,596.0,540,599.762,A15929
2022-09-19 17:35:00,12,GR1,0.241,1.34,0.014,0.024,0.21,0.003,0.0001,0.019,0.005,56.0,925,1040.0,130,700.811,37,27,1528,1497,1.37,629.0,526,601.078,A72919
2022-09-20 16:20:00,12,GR1,0.244,1.312,0.011,0.031,0.254,0.003,0.0016,0.028,0.004,53.0,969,986.0,68,703.815,288,17,2911,2570,1.36,597.0,580,589.895,A99931
2022-09-24 14:35:00,12,GR1,0.241,1.299,0.025,0.027,0.219,0.002,0.0003,0.028,0.003,50.0,988,1085.0,91,715.477,120,27,2781,2850,1.36,578.0,533,611.71,A19936
2022-09-24 14:15:00,12,GR1,0.236,1.352,0.013,0.026,0.255,0.003,0.0006,0.026,0.002,67.0,1076,947.0,53,726.673,86,18,3452,3327,1.36,531.0,565,622.21,A19869
2022-09-20 18:40:00,12,GR1,0.242,1.301,0.02,0.032,0.235,0.002,0.0003,0.033,0.003,54.0,969,924.0,121,721.096,280,25,1866,2726,1.36,501.0,558,607.988,A99196
2022-09-20 18:10:00,12,GR1,0.241,1.305,0.021,0.035,0.217,0.002,0.0001,0.041,0.004,60.0,1007,917.0,85,736.526,160,23,2193,3245,1.36,582.0,592,620.971,A19097
2022-09-20 21:20:00,12,GR1,0.22,1.323,0.02,0.025,0.232,0.004,0.0005,0.029,0.003,54.0,974,900.0,4,708.079,13,22,2992,3109,1.36,618.0,539,593.704,A97193
2022-09-21 01:45:00,12,GR1,0.22,1.323,0.02,0.025,0.232,0.004,0.0005,0.029,0.003,54.0,966,909.0,3,710.011,113,25,2717,3295,1.34,520.0,588,594.874,A39971
2022-09-20 22:45:00,12,GR1,0.22,1.272,0.021,0.031,0.212,0.003,0.0002,0.033,0.003,60.0,967,930.0,123,708.765,53,19,2434,2244,1.35,503.0,538,586.414,A75199
2022-09-20 23:15:00,12,GR1,0.22,1.272,0.021,0.031,0.212,0.003,0.0002,0.033,0.003,60.0,1116,1024.0,13,710.157,126,25,2622,2649,1.35,559.0,537,589.924,A97519
2022-09-26 19:10:00,12,GR2,0.213,1.3,0.018,0.02,0.229,0.003,0.0005,0.029,0.003,56.0,939,1124.0,31,700.239,178,25,2206,3234,1.37,588.0,553,593.85,A69179
2022-09-26 19:40:00,12,GR2,0.213,1.3,0.018,0.02,0.229,0.003,0.0005,0.029,0.003,56.0,1043,904.0,63,666.683,145,17,3499,2724,1.37,605.0,515,570.413,A19976
2022-09-21 05:10:00,12,GR1,0.227,1.29,0.015,0.037,0.243,0.003,0.0007,0.029,0.0056,62.0,1154,1032.0,46,727.241,278,26,3489,2199,1.35,618.0,589,595.918,A31998
2022-09-22 11:45:00,12,GR1,0.225,1.336,0.016,0.033,0.236,0.0025,0.0022,0.0234,0.0062,42.0,1082,1050.0,88,,151,17,2786,3197,1.35,585.0,581,606.112,A00102
2022-09-21 21:25:00,12,GR1,0.226,1.25,0.015,0.031,0.238,0.0025,0.0028,0.0223,0.0071,50.0,1146,1066.0,83,707.431,108,28,3202,2473,1.36,566.0,592,590.959,A00072
2022-09-21 21:55:00,12,GR1,0.226,1.25,0.015,0.031,0.238,0.0025,0.0028,0.0223,0.0071,50.0,1040,1090.0,14,727.219,250,23,3461,3125,1.36,546.0,586,597.384,A27000
2022-09-21 23:30:00,12,GR1,0.235,1.308,0.017,0.03,0.185,0.0023,0.0022,0.0233,0.0072,40.0,1143,918.0,125,717.17,199,21,2574,3449,1.35,583.0,544,589.97,A80020
2022-09-22 00:00:00,12,GR1,0.235,1.308,0.017,0.03,0.185,0.0023,0.0022,0.0233,0.0072,40.0,941,1019.0,49,715.458,270,27,3400,1846,1.35,560.0,579,589.852,A00208
2022-09-22 10:50:00,12,GR1,0.239,1.303,0.014,0.027,0.225,0.003,0.002,0.0294,0.0102,55.0,1116,1017.0,14,700.775,281,27,1718,3107,1.35,502.0,585,599.574,A03201
2022-09-22 05:40:00,12,GR1,0.22,1.295,0.016,0.033,0.223,0.0025,0.0022,0.0334,0.0071,55.0,1128,1079.0,18,705.837,62,24,2575,2142,1.35,596.0,524,595.484,A02081
2022-09-22 08:40:00,12,GR1,0.228,1.36,0.013,0.037,0.235,0.0027,0.0031,0.0285,0.0073,45.0,1125,1089.0,117,699.496,151,18,1892,2366,1.34,525.0,537,589.761,A22100
2022-09-22 09:50:00,12,GR1,0.22,1.28,0.019,0.03,0.21,0.0022,0.0022,0.0306,0.0074,51.0,1030,1096.0,8,712.872,273,24,2499,1557,1.34,542.0,591,597.138,A32002
2022-09-22 10:20:00,12,GR1,0.222,1.33,0.023,0.03,0.228,0.0023,0.0021,0.0328,0.0068,49.0,925,961.0,100,718.193,153,24,3168,2749,1.34,630.0,567,604.719,A25200
2022-09-22 13:45:00,12,GR1,0.222,1.33,0.023,0.03,0.228,0.0023,0.0021,0.0328,0.0068,49.0,1129,1099.0,69,716.178,172,26,1930,3396,1.35,554.0,555,614.656,A05022
2022-09-22 14:15:00,12,GR1,0.222,1.29,0.02,0.038,0.227,0.0024,0.0025,0.0336,0.0068,54.0,1106,1016.0,70,702.765,244,27,3058,1896,1.35,616.0,534,598.889,A22600
2022-09-23 13:15:00,12,GR1,0.222,1.29,0.02,0.038,0.227,0.0024,0.0025,0.0336,0.0068,54.0,1092,942.0,89,728.604,189,26,1590,2165,1.36,595.0,562,630.178,A60202
2022-09-22 12:15:00,12,GR1,0.223,1.3,0.025,0.031,0.226,0.0029,0.0024,0.0304,0.0067,50.0,977,898.0,64,716.206,200,17,3146,3173,1.35,618.0,572,602.272,A08022
2022-09-23 16:40:00,12,GR1,0.224,1.3,0.022,0.031,0.224,0.0025,0.0025,0.0352,0.0067,55.0,893,1004.0,24,697.506,274,26,2326,1826,1.36,544.0,504,584.985,A20030
2022-09-22 17:15:00,12,GR1,0.223,1.308,0.025,0.03,0.232,0.002,0.0023,0.0279,0.0055,50.0,1145,1012.0,17,702.593,219,18,3479,3175,1.34,,579,599.755,A00223
2022-09-22 16:05:00,12,GR1,0.221,1.319,0.024,0.034,0.242,0.0023,0.0028,0.0312,0.0061,54.0,892,935.0,65,697.626,275,22,1893,3099,1.34,580.0,551,591.525,A23040
2022-09-22 16:30:00,12,GR1,0.22,1.332,0.02,0.035,0.225,0.0021,0.0026,0.0272,0.0069,48.0,906,1080.0,134,707.444,131,24,2773,2680,1.34,532.0,512,603.456,A03026
2022-09-22 16:45:00,12,GR1,0.22,1.332,0.02,0.035,0.225,0.0021,0.0026,0.0272,0.0069,48.0,1072,1017.0,132,701.247,308,21,2267,2388,1.34,585.0,582,597.669,A32006
2022-09-23 17:10:00,12,GR1,0.22,1.332,0.02,0.035,0.225,0.0021,0.0026,0.0272,0.0069,48.0,1035,947.0,0,697.938,251,20,2375,2139,1.37,636.0,510,590.218,A06023
2022-09-22 19:40:00,12,GR1,0.22,1.3,0.022,0.03,0.23,0.0021,0.0023,0.0254,0.0066,46.0,1061,991.0,68,714.584,225,20,3176,2043,1.34,522.0,503,611.659,A08302
2022-09-22 20:00:00,12,GR1,0.22,1.3,0.022,0.03,0.23,0.0021,0.0023,0.0254,0.0066,46.0,926,,7,706.678,210,27,3041,1937,1.35,635.0,564,605.164,A30820
2022-09-23 17:40:00,12,GR1,0.223,1.3,0.019,0.025,0.222,0.002,0.0022,0.0225,0.006,49.0,1074,1111.0,136,716.333,208,23,1592,3235,1.36,576.0,572,604.004,A02004
2022-09-23 10:35:00,12,GR1,0.222,1.313,0.026,0.028,0.216,0.0023,0.0022,0.0267,0.0064,55.0,957,901.0,81,728.122,127,22,2765,3038,1.33,551.0,549,619.499,A00142
2022-09-23 11:05:00,12,GR1,0.222,1.313,0.026,0.028,0.216,0.0023,0.0022,0.0267,0.0064,55.0,986,1127.0,20,722.69,99,23,2546,2331,1.34,568.0,539,617.244,A20014
2022-09-23 01:00:00,12,GR1,0.221,1.29,0.023,0.037,0.235,0.0029,0.0029,0.0276,0.0063,56.0,1085,1122.0,72,731.066,272,17,2359,1839,1.34,637.0,503,604.853,A40270
2022-09-23 15:00:00,12,GR1,0.225,1.292,0.019,0.038,0.211,0.0029,0.0029,0.0239,0.0073,48.0,1153,1138.0,19,712.854,18,22,2852,2782,1.35,632.0,524,607.497,A94002
